"PA1" "PA2" "PA3" "PA4" "PA5" "PA6" "PA7" "PA8" "PA9" "PA10" "country" "modality" "category" "circle" "region" "phase"
"AG-TW-2014_04_X.txt" -0.927564533250474 -0.0523830583318238 -0.663260527582519 -0.564439954070629 0.335748759242714 -0.678898945179984 1.41324007397176 -0.937229013804981 -1.0074118726533 -0.0734545845088982 "AG" "T" "TW" "Outer_Circle" "Caribbean" "xxx"
"AG-TW-2014_05_X.txt" -0.897235607002584 0.0739932420486364 -0.136968078299377 -0.577356237273966 0.395280473954982 -0.471453512288249 1.047160042021 -0.219996475662545 -0.669667243997025 0.207905342390384 "AG" "T" "TW" "Outer_Circle" "Caribbean" "xxx"
"AG-TW-2014_06_X.txt" -0.948524412661788 -0.101752896930001 -0.177660464539657 -0.584040660722928 0.0177575629817718 -0.251636130352424 2.17703243526129 -0.189859001240299 -0.603328890741093 0.101453824606018 "AG" "T" "TW" "Outer_Circle" "Caribbean" "xxx"
"AG-TW-2014_07_X.txt" -0.892161206034204 -0.0596540370827277 -0.407900039207353 -0.268102116854187 0.157679935008067 0.0233743172179231 2.71717674547436 -0.285263344387241 -0.766916716117083 0.336454612167083 "AG" "T" "TW" "Outer_Circle" "Caribbean" "xxx"
"AG-TW-2014_08_X.txt" -0.774856960113672 0.102564394102181 -0.620026784309841 -0.511526634905414 -0.275238972978869 -0.758440493128254 1.3105951775615 -0.342248409066904 -0.584746913364921 0.266523895976352 "AG" "T" "TW" "Outer_Circle" "Caribbean" "xxx"
"AG-TW-2014_09_X.txt" -0.847644946061583 -0.435351395179551 -0.151470602251902 -0.626898386063941 -0.393815882215176 0.109638305019223 2.10783323543262 -0.411643731323085 -0.180764477698456 0.0450066624539227 "AG" "T" "TW" "Outer_Circle" "Caribbean" "xxx"
"AG-TW-2014_10_X.txt" -0.680893048703033 -0.188492946218175 -0.0737718939788043 -0.790775041373363 -0.199475626837957 -0.582174091510098 1.34357882502307 -0.165250200380649 -0.561241136246245 0.27519010462311 "AG" "T" "TW" "Outer_Circle" "Caribbean" "xxx"
"AG-TW-2014_11_X.txt" -0.810017745517252 -0.315239476177362 -0.588150646440856 -0.314546106218221 0.350474323575698 0.0340480211090578 2.29971394676336 -0.858951262474067 -0.389342026621952 0.207391141900347 "AG" "T" "TW" "Outer_Circle" "Caribbean" "xxx"
"AG-TW-2014_12_X.txt" -0.878238881484345 -0.13395362295469 0.0844703554992749 -0.168721866162222 0.195776995040797 -0.60757318304168 2.24189967757682 -0.62735273152364 -1.10675108204063 -0.106722257489276 "AG" "T" "TW" "Outer_Circle" "Caribbean" "xxx"
"AG-TW-2015_05_X.txt" -1.13366387387886 -0.166563881891536 0.168289899333204 -0.122832435475246 -0.0934452187126023 -0.596202302538011 2.06511059971704 -0.565062461954804 -0.887368070465426 0.247500957406124 "AG" "T" "TW" "Outer_Circle" "Caribbean" "xxx"
"AG-TW-2015_06_X.txt" -0.810123529585785 -0.12722931090246 -0.262335956294516 -0.430685549853674 -0.00398970142618197 -0.66760571381261 1.52507630879944 -0.48974133200993 -0.4566327669175 0.250617127272847 "AG" "T" "TW" "Outer_Circle" "Caribbean" "xxx"
"AG-TW-2015_07_X.txt" -0.868693165236166 0.0270581528789915 -0.623485471250006 -0.51684925551277 0.291706819502802 -0.838301148360634 1.52226797604267 -0.599869573035403 -0.954295454560445 0.0482878256581973 "AG" "T" "TW" "Outer_Circle" "Caribbean" "xxx"
"AG-TW-2015_08_X.txt" -0.903060071390182 -0.0192939385152566 -0.414166056232481 -0.292569970453384 -0.1004121670305 -0.655840860912156 2.31116905750931 -0.347436567352396 -0.25027158771341 0.113420789466764 "AG" "T" "TW" "Outer_Circle" "Caribbean" "xxx"
"AU-TW-2012_02_X.txt" -0.847676822389863 0.0480509953360325 -0.345534338580029 -0.298161087472525 0.240297153544586 -0.3742659231795 0.941623321699341 0.467413287584901 -0.54937389888144 0.0462210026324861 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2012_03_1.txt" -0.898113936467222 -0.0497771416179993 0.151640200114026 0.0113252648942294 -0.0989728297776481 0.193939347917528 1.15373251306527 0.157508852323883 -0.820398351080247 0.481862582961872 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2012_04_1.txt" -0.918832178001853 0.0628367561208731 -0.401796019260229 -0.360288076911691 0.115336257913948 -0.114793205189435 1.09784870128106 0.265044026687126 -0.57449568660514 0.312894531982047 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2012_05_X.txt" -0.989109958660717 -0.0325653320397547 -0.567147755947673 0.014779551300818 -0.465425903961752 -0.467703722074611 0.946846260222537 0.581597186982741 -0.476408054898251 -0.171449429308485 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2012_06_X.txt" -0.999060146886248 -0.166342268974453 -0.438894743545049 -0.440420918667376 0.13231644643604 -0.245224129423948 0.94203556499182 0.0830510445281799 -0.732323988032896 0.731999698623649 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2012_07_X.txt" -0.90180028563957 0.167632113119156 0.0388022465021966 -0.320930713827488 0.68167440935405 -0.430773601054749 1.08203505909038 0.401937013151763 -0.737984856113499 0.516529222476933 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2012_08_X.txt" -0.810360264462562 -0.289972107756642 -0.468316828526145 -0.0115544688992036 0.101088605077856 -0.235715941162004 1.50107642453078 0.758444830235741 -0.264376144513879 0.208607873208916 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2013_03_1.txt" -0.905621335543751 -0.098707643626202 0.176758119087389 0.0413441653148202 -0.0629400747359145 0.21105981345359 1.23921342497181 0.184561635830258 -0.807577809169713 0.517836039292637 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2014_03_1.txt" -0.613588734684209 -0.825944224450122 -0.270962264456992 -0.469897871365261 0.339079636922661 0.0406867099001176 0.110330469562716 -0.341905734969724 -0.743596744921558 0.191410407560545 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2014_03_2.txt" -0.674774132396677 -0.353168988366403 -0.661868940682547 -0.15999066424641 0.284545043032122 -0.518737526042043 0.67557772748575 0.301818707758463 -0.80766599763417 -0.0682203695418373 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2014_03_3.txt" -0.760255406976671 -0.663291435776782 -0.227545395522461 -0.0939615072306762 0.233476583827361 0.317925952338666 1.33432845480334 -0.040387802549378 -0.624690553923779 0.0987202997585579 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2014_03_4.txt" -0.675049246934687 -0.380307913687345 -0.472955653394514 -0.338578315782315 0.401706528607624 -0.658483048274479 0.309333150989695 -0.253711925263846 -0.871741200611674 0.45818613468735 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2014_03_5.txt" -0.463484903740631 -0.651431331834326 -0.677311766263961 -0.398941052028354 -0.691138811130949 -0.200783027757471 0.365922347256665 -0.347501336628978 -0.47087159866104 0.275948603945417 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2014_04_1.txt" -0.562101515204091 -0.392252058645512 -0.67742481920093 -0.249479163944266 0.209326465942278 -0.507837666637621 0.429692982603912 -0.179202792910935 -0.864711230299282 -0.382311587762565 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2014_04_2.txt" -0.890050199288668 -0.492592340550866 -0.538181812727786 -0.00238345314700295 -0.11131925620718 -0.0294180709097275 0.66055387787664 0.0171196553416426 -0.790454230066747 0.0670620347191958 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2014_04_3.txt" -0.726793491543672 -0.49784184970848 -0.536310328620274 -0.266621012352846 0.496500838498054 -0.131695881888245 0.936617919722753 0.108078311896112 -0.539531640521243 0.356053822585552 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2014_04_4.txt" -0.767635421069125 -0.708849065411453 -0.710155533842187 -0.0977348866555778 0.240026264988932 -0.342976918071207 0.0271093973023205 -0.238380236999767 -0.728423330873325 0.037366703824171 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2014_04_5.txt" -0.617530438649318 -0.302571991798114 -0.740048416155286 -0.253157381729259 0.486375677235577 0.0906099674999948 0.80067673892632 -0.106643007370614 -0.761590013559753 -0.00041175799133683 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2014_05_1.txt" -0.642439748740408 -0.484479758114076 -0.85327890681491 -0.396982923703046 -0.377907275324419 -0.461129064466674 0.651987489073561 -0.400649472652043 -0.642816223898248 0.063093167654672 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2014_05_2.txt" -0.575752857250043 -1.06085674652555 -0.164147317300828 0.0920514498533008 -0.0995032336034304 0.360834531729235 0.531543325913633 -0.305628995057076 -0.726147077098796 0.0608708990302234 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
